Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210059,2021,05/09/2022,Bethany,72 GRANT RD,117530.00,75000.00,1.567,Residential,Single Family,01 - Family,,,POINT (-72.989144974 41.46000099)
210083,2021,12/13/2021,Berlin,47 MATTABASSETT ST,142500.00,264900.00,0.5379,Residential,Single Family,,,,POINT (-72.713509022 41.617429015)
211908,2021,07/15/2022,Bridgeport,74 COLE ST #114,7941540.00,92500.00,85.85448649,Commercial,,08 - Part Interest,COOP (SEASIDE VILLAGE HOMES INC),,POINT (-73.199505957 41.16539643)
21271,2021,03/29/2022,Farmington,9G TALCOTT GLEN RD,124960.00,240000.00,0.520666667,Residential,Condo,,,,POINT (-72.795777233 41.741511777)
210731,2021,06/01/2022,Fairfield,114 DWIGHT STREET,365680.00,925000.00,0.3953,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.250413003 41.135799997)
211983,2021,08/01/2022,Bridgeport,2660 NORTH AVE UNIT #232,94510.00,224000.00,0.4219,Residential,Condo,,,,POINT (-73.22075498 41.177351983)
21000476,2021,08/19/2022,Cheshire,261 HIGGINS RD,179390.00,396000.00,0.453,Residential,Single Family,,,,POINT (-72.912474029 41.484744997)
218081,2021,04/13/2022,Middletown,390 BALLFALL RD,147420.00,167000.00,0.8827,Residential,Single Family,,,,POINT (-72.701850968 41.557970015)
2100442,2021,05/26/2022,Naugatuck,1271 NEW HAVEN ROAD,96690.00,295000.00,0.3277,Residential,Single Family,,,,POINT (-73.018379041 41.467261017)
2100285,2021,09/06/2022,New Fairfield,13 SUNSET DR,274600.00,470000.00,0.5842,Residential,Single Family,,,,POINT (-73.462636002 41.50711902)
210149,2021,11/22/2021,Middletown,189 SAND HILL RD,133830.00,305000.00,0.438786885,Residential,Single Family,,,,POINT (-72.62879497 41.538419016)
210561,2021,01/31/2022,Danbury,14 HIGHLAND AV,146700.00,335000.00,0.4379,Residential,Single Family,,H13133,,POINT (-73.465286025 41.397898002)
210453,2021,11/30/2021,Bridgeport,24 BERKELEY PL #26,151650.00,60833.00,2.4928,Residential,Two Family,08 - Part Interest,,,POINT (-73.178648992 41.203914988)
211020,2021,02/28/2022,Bridgeport,155 BREWSTER ST UNIT # 4G,98640.00,155000.00,0.636387097,Residential,Condo,,,,POINT (-73.219648988 41.153741)
210443,2021,06/17/2022,Glastonbury,484 THREE MILE RD,386700.00,806300.00,0.4795,Residential,Single Family,,,,POINT (-72.548804038 41.685498996)
210195,2021,01/06/2022,Glastonbury,34 SAND HILL LN,355000.00,739000.00,0.4803,Residential,Single Family,,,,POINT (-72.542723973 41.710023019)
210125,2021,07/26/2022,Easton,81 VISTA DRIVE,408450.00,655000.00,0.6235,Residential,Single Family,,,,POINT (-73.318775973 41.285037981)
210980,2021,08/01/2022,Fairfield,521 OLDFIELD ROAD,408590.00,840000.00,0.4864,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.259821019 41.134564002)
21000258,2021,04/01/2022,Cheshire,1234 AVON BLVD,138290.00,315000.00,0.439,Residential,Single Family,,,,POINT (-72.916284023 41.471366012)
210036,2021,11/01/2021,Bloomfield,35 PETERS ROAD,216230.00,80000.00,2.7028,Industrial,,03 - Inter Corporation,,,POINT (-72.735656022 41.856951998)
2100176,2021,05/12/2022,New Fairfield,302 RTE 39,96900.00,285000.00,0.34,Residential,Single Family,25 - Other,MULTI PARCEL SALE,,POINT (-73.479005021 41.521785004)
210481,2021,12/03/2021,Bridgeport,280 VALLEY AVE,171050.00,287000.00,0.5959,Residential,Single Family,,,,POINT (-73.205817003 41.212745994)
21315,2021,07/07/2022,Bethel,62 LINDA LANE,230860.00,408000.00,0.5658,Residential,Single Family,25 - Other,DISSOLUTION OF MARRIAGE,,POINT (-73.382900969 41.380615985)
21187,2021,03/14/2022,Bethel,5 TAYLOR ROAD,163100.00,715000.00,0.228111888,Residential,Single Family,,,,POINT (-73.387010029 41.377187996)
210887,2021,02/03/2022,Bridgeport,95 KINGSBURY RD,21810.00,89900.00,0.242602892,Vacant Land,,,,,POINT (-73.177413877 41.204710225)
21026,2021,11/17/2021,Haddam,235 BEAVER MEADOW RD,176340.00,294000.00,0.5997,Residential,Single Family,,,,POINT (-72.529016041 41.454022011)
210104,2021,07/01/2022,East Granby,45 RIDGE BOULEVARD,216700.00,506500.00,0.4278,Residential,Single Family,,,,POINT (-72.727221983 41.969597988)
210427,2021,08/30/2022,New Canaan,882 SILVERMINE RD,1479800.00,2325000.00,0.6364,Residential,Single Family,,,,POINT (-73.453770966 41.155400994)
21117,2021,06/15/2022,Haddam,ARKAY DR,6300.00,25000.00,0.252,Vacant Land,,12 - Non Buildable Lot,,1.02 ACRE LOT ASSESSED AS UNBUILDABLE,POINT (-72.50472 41.47439)
210335,2021,12/20/2021,Bristol,374 MATTHEWS ST,127610.00,250000.00,0.5104,Residential,Single Family,,,,POINT (-72.967309026 41.686076006)
211162,2021,06/23/2022,Danbury,99 BRENTWOOD CI,18200.00,703246.00,0.0258,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-47,,POINT (-73.524589984 41.384727775)
211264,2021,07/18/2022,Danbury,18 POCONO RD,191100.00,410000.00,0.466,Residential,Single Family,,M09041,,POINT (-73.364408982 41.418731013)
210098,2021,01/05/2022,Clinton,20 JEFFERSON CIR,163200.00,321500.00,0.5076,Residential,Single Family,,,,POINT (-72.513254039 41.297506984)
210079,2021,08/17/2022,Kent,27 NORTH MAIN ST U3A,110700.00,145000.00,0.7634,Commercial,,,,,POINT (-73.476385006 41.726535997)
21010,2021,10/04/2021,Farmington,273 TALCOTT NOTCH RD,597030.00,898000.00,0.664844098,Residential,Single Family,25 - Other,"CASH SALE NO MORTGAGE ORG MLS $939,900",,POINT (-72.815732031 41.755372007)
210251,2021,12/09/2021,Hamden,30 WEST MEADOW RD,207900.00,370000.00,0.5618,Residential,Single Family,,,,POINT (-72.928291016 41.436293992)
210038,2021,10/20/2021,Glastonbury,458 STANLEY DR,326500.00,569000.00,0.5738,Residential,Single Family,,,,POINT (-72.529950036 41.711757989)
2100499,2021,06/27/2022,Naugatuck,61 MARC STREET,139090.00,310000.00,0.4486,Residential,Single Family,,,,POINT (-73.011175968 41.474581017)
210080,2021,02/09/2022,Essex,262 WESTBROOK RD,238000.00,266700.00,0.892388451,Residential,Single Family,06 - Portion of Property,SPLIT PORTION SOLD TO FAMILY MEMBER,,POINT (-72.428421971 41.328022015)
211367,2021,04/13/2022,Bridgeport,2625 PARK AVE UNIT #12R,62800.00,95000.00,0.661052632,Residential,Condo,14 - Foreclosure,,,POINT (-73.216777012 41.193259997)
211211,2021,08/15/2022,Bristol,174 CIRCLE ST,112280.00,295000.00,0.3806,Residential,Single Family,,,,POINT (-72.892792985 41.676682994)
21093,2021,05/09/2022,Haddam,37 CHRISTIAN HILL LN,99690.00,215900.00,0.461741547,Residential,Single Family,,,,POINT (-72.570462037 41.494002012)
210505,2021,12/06/2021,Bridgeport,90 LANCE CIRCLE UNIT #90,100700.00,200000.00,0.5035,Residential,Condo,,,,POINT (-73.232859035 41.226853994)
